Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
,,,,,,,,,<em>Et les chiens se taisaient</em>,A timeline of sorts,,,,,title,,
1941,1,1,,1943,09,22,,,Composition of the typescript,"Internal evidence suggests the play was begun in 1941. On page 76 of the typescript, Toussaint exclaims ""<i>l’épais crachat des siècles/mûri/en 306 ans.</i>"" If we deduct 306 from 1941 we get 1635, the date Martinique and Guadeloupe fell under the control of the French crown. In a letter dated September 22, 1943, Césaire informs Breton that he has just finished ""<em>un drame nègre.</em>"" This is the earliest date for a finished version we have with any degree of certitude.",,,,,,,#333333
1943,6,,,,,,,,The end of Vichy,"After a successful US naval-blockade the Vichy government of Gen. Roberts is forced to leave the island and the ""dissident"" government takes power.",,,,,,,
1943,9,22,,,,,,,First mention of the work,"A letter from Césaire to Breton, dated ""Fort-de-France 22 septembre 1943,"" represents the first known reference to the play in any of the known documents. In the letter, Césaire briefly announces to Breton,  ""<em>Je viens de terminer un drame nègre, dont je vous ferai tenir le texte sous peu.</em>""",,,,,,,
1943,11,16,,,,,,,First mention of the title,"A letter from Césaire to Breton, postmarked November 16, 1943, marks the first time the title ""<i>Et les chiens se taisaient</i>"" is used in the known documents: ""<em>Je vous enverrai bientôt par paquet-poste les manuscrits d'un recueil possible de poèmes ainsi qu'un drame : Et les chiens se taisaient.</em>""",,,,,,,
1944,1,17,,,,,,,The typescript is sent to New York,"In a new letter we learn that Césaire kept his promise to send the typescript of the play by ""paquet-poste."" In the post-datum, Césaire informs Breton: ""<em>P.S. Je vous envoie par le même courrier [...] quelques pages supplémentaires pour : « Et les chiens se taisaient ».</em>"" This is also the letter where Césaire expresses his disdain for Caillois. Eventually, Césaire will be published by Caillois in Buenos Aires in the journal <i>Lettres Françaises</i>.",,,,,,,
1944,2,1,,,,,,,"""Intèrmede"" (<em>Tropiques</em>)","The first published version of a text from <i>Et les chiens se taisaient</i>. This text is put together from different blocks in the typescript. For the most part, its lines are absent from the version of the work published in 1946.",,,,,,public,
1944,4,4,,,,,,,Césaire vows to erase history,"In an astonishing letter to Breton, Césaire declares his allegiance to surrealism. After reading Breton's « Un grand poète noir », Césaire becomes convinced that he must do what he can to elliminate most traces of history from the play and revise it  ""<em>dans le sens d'une plus grande liberté.</em>"" He asks Breton to consider the typescript a ""canevas, avancé certes, mais canevas cependant."" He also makes reference to a set of corrections that he has sent ""<em>par le même courrier.</em>""",,,,,,,
1944,5,,,,,,,,"""Poème""",The second fragment of <i>Et les chiens se taisaient</i> published in <em>Tropiques</em>. This is the same text that will be retaken in <i>Lettres Françaises</i>.,,,,,,public,
1944,5,17,,1944,12,,,,Sojourn in Haiti,"Not without irony, most of the direct references leading back to the Haitian Revolution were probably removed from the text while Césaire was in Haiti. Go figure.",,,,,,,#333333
1945,4,2,,,,,,,Who is Yvan Goll?,"Responding to news that one Yvan Goll was in posession of his typescript, Césaire tells Breton that he did not know the gentleman. He exclaims, ""<i>De celui-ci j'espère qu'il aura la délicatesse de ne rien publier, attendu qu'il ne m'a rien demandé, et surtout que je désavoue la version de cette œuvre que vous connaissez.</i>"" Césaire also mentions that he has received a copy of <i>Les impostures de la poesie</i> from Caillois, which surprises him. His ""<i>poème</i>"" will appear a couple of weeks later in the Buenos Aires journal.",,,,,,,
