,,PAGINATION,,,,,,,,,SUPPORT,,,,MARKINGS,,,,,,FEATURES,,,,,,,,,,,,,,,,,,
ACT,Page,P1,P2,P3,P4,P5,P6,P7,P8,P9,Paper,Carbon,Residue,Tone,Blue Ink,Dark Ink,Red Ink,Dark Pencil,Light Pencil,Red Pencil,Half pages,Full use,Underlines ,,,,,,,,,,,,,,,,
,Title,,,,,,,,,39,A,blue,dirty,medium,,,,,,,,,,,,,,,,,,,,,,,,,
I,1,,,,,,1,,,40,A,black,medium,dark,x,,,,x,,/,,,,,,,,,,,,,,,,,,
I,2,,3,,,,2,,,41,B,blue,clean,medium,x,,,,x,,,,X,,,,,,,,,,,,,,,,
I,3,,4,,,,3,,,42,B,blue,clean,medium,,,,x,,,/ ,,X,,,,,,,,,,,,,,,,
I,4,,5,,,,4,,,43,B,blue,clean,medium,x,,,,x,,,,X,,,,,,,,,,,,,,,,
I,5,,6,,,,5,,,44,B,blue,clean,medium,x,,,,x,,,,X,,,,,,,,,,,,,,,,
I,6,,7,,,,6,,,45,B,blue,clean,medium,,,,,x,,,,X,,,,,,,,,,,,,,,,
I,7,,8,,,,7,,,46,B,blue,clean,medium,x,,,,x,,,,X,,,,,,,,,,,,,,,,
I,8,,9,,,,8,,,47,B,blue,clean,medium,x,,,,x,,,,X,,,,,,,,,,,,,,,,
I,9,,10,,,,9,,,48,B,blue,clean,medium,x,,,,,,/ ,,X,,,,,,,,,,,,,,,,
I,10,,11,,,,10,,,49,B,blue,clean,medium,,,,x,,,,,X,,,,,,,,,,,,,,,,
I,11,,12,,,,11,,,50,B,blue,clean,medium,,,,x,x,,,,X,,,,,,,,,,,,,,,,
I,12,,13,,,,12,,,51,B,blue,clean,medium,,,,x,x,,,,X,,,,,,,,,,,,,,,,
I,13,,14,,,,13,,,52,B,blue,clean,medium,,,,,x,,,,X,,,,,,,,,,,,,,,,
I,14,,15,,,,14,,,53,B,blue,clean,medium,,,,,x,,,,X,,,,,,,,,,,,,,,,
I,15,,16,,,,15,,,54,B,blue,clean,medium,,,,,x,,/,,X,,,,,,,,,,,,,,,,
I,16,,17,,,,16,,,55,B,blue,clean,medium,,,,,x,, ,,X,,,,,,,,,,,,,,,,
I,17,,18,,,,17,,,56,B,blue,clean,medium,,,,x,x,,,,X,,,,,,,,,,,,,,,,
I,18,,19,,,,18,,,57,B,blue,clean,medium,,,,x,x,,,,X,,,,,,,,,,,,,,,,
I,19,,20,,,,19,,,58,B,blue,clean,medium,,,,x,,,,,X,,,,,,,,,,,,,,,,
I,20,,21,,,,20,,,59,B,blue,clean,medium,,,,x,,,,,X,,,,,,,,,,,,,,,,
I,21,,22,,,,21,,,60,B,blue,clean,medium,,,,x,,,,,X,,,,,,,,,,,,,,,,
I,22,,23,,,,22,,,61,B,blue,clean,medium,x,,,x,x,,/,,X,,,,,,,,,,,,,,,,
I,23,1,,,,,23,,,62,C,blue,clean,medium,x,,,x,,,,,,,,,,,,,,,,,,,,,
I,24,2,,,,,24,,,63,C,blue,clean,medium,x,,,x,x,x,,,,,,,,,,,,,,,,,,,
I,25,5,,,,,25,,,64,C,blue,clean,medium,,,,x,,x,,,,,,,,,,,,,,,,,,,
I,26,6,,,,,26,,,65,C,blue,clean,medium,,,,x,,,,,,,,,,,,,,,,,,,,,
I,27,7,,,,,27,,,66,C,blue,clean,medium,,,,x,x,,,,,,,,,,,,,,,,,,,,
I,28,8,,,,,28,,,67,C,blue,clean,medium,,,,x,,,,,,,,,,,,,,,,,,,,,
I,29,9,,,,,29,,,68,C,blue,clean,medium,,,,x,x,,,,,,,,,,,,,,,,,,,,
I,30,10,,,,,30,,,69,C,blue,clean,medium,,,,x,x,,/,,,,,,,,,,,,,,,,,,
I,31,11,,,,,31,,,70,C,blue,clean,medium,x,,,x,x,,,,,,,,,,,,,,,,,,,,
I,32,12,,,,,32,,,71,C,blue,clean,medium,,,,x,,,,,,,,,,,,,,,,,,,,,
I,33,13,,,,,33,,,72,C,blue,clean,medium,,,,x,,,,,,,,,,,,,,,,,,,,,
I,34,14,,,,,34,,,73,C,blue,clean,medium,,,,x,,,,,,,,,,,,,,,,,,,,,
I,35,15,,,,,35,,,74,C,blue,clean,medium,,,,,x,,,,,,,,,,,,,,,,,,,,
I,36,16,,,,,36,,,75,C,blue,clean,medium,,,,x,x,,,,,,,,,,,,,,,,,,,,
I,37,17,,,,,37,,,76,C,blue,clean,medium,,,,x,x,,,,,,,,,,,,,,,,,,,,
I,38,18,,,,,38,,,77,C,blue,clean,medium,,,,x,x,,,,,,,,,,,,,,,,,,,,
I,39,19,,,,,39,,,78,C,blue,clean,medium,,,,x,x,,,,,,,,,,,,,,,,,,,,
I,40,20,,,,,40,,,79,C,blue,clean,medium,x,,,,x,,/,,,,,,,,,,,,,,,,,,
II,41,,,,,,,,41,80,D,blue,medium,medium,,x,,,x,,,x,,,,,,,,,,,,,,,,,
II,42,,,,,1,42,,,81,A,black,medium,medium,x,,,x,,,,,,,,,,,,,,,,,,,,,
II,43,,,,,2,43,,,82,A,black,medium,medium,,,,x,,,,x,,,,,,,,,,,,,,,,,
II,44,,,,,3,44,,,83,A,black,medium,medium,x,,,x,,,,x,,,,,,,,,,,,,,,,,
